French,English
partie,part
histoire,history
seulement,only
police,police
demande,request
genre,kind
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
devrait,should
bébé,baby
heures,hours
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
aujourd'hui,today
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
